url,title,price,body_type,city_fuel_economy,cylinder,doors,drivetrain,engine,exterior_colour,fuel_type,hwy_fuel_economy,interior_colour,kilometres,passengers,status,stock_number,transmission,trim
https://www.autotrader.ca/a/bmw/x7/woodbridge/ontario/5_65209462_on20071217115034484/,2019 BMW X7 BOSE|PANO-ROOF|7-PASS|ACCIDENT-FREE,46888,SUV,12.0L/100km,6,4,AWD,Intercooled Turbo Premium Unleaded I-6 3.0 L/183,Arctic Grey Metallic,Gas,9.4L/100km,,75000,7,Used,250302A,Automatic,BOSE|PANO-ROOF|7-PASS|ACCIDENT-FREE
https://www.autotrader.ca/a/honda/cr-v/mount%20hope%2c%20hamilton/ontario/5_65523108_20150528104237599/,2017 Honda CR-V LX  - Bluetooth - $120.44 /Wk,20998,SUV,8.7L/100km,4,4,AWD,190HP 1.5L 4 Cylinder Engine,Modern Steel Metallic,Gas,7.2L/100km,,125694,5,Used,U1021,CVT,LX  - Bluetooth - $120.44 /Wk
https://www.autotrader.ca/a/lincoln/continental/toronto/ontario/5_65342309_on20080728104010526/,2017 Lincoln Continental JUST ARRIVED,22695,Sedan,14.0L/100km,6,4,AWD,2.7L GTDI V6,White Platinum Metallic Tri-Coat,Gas,9.5L/100km,Black,84606,5,Used,43061B,6 Speed Automatic,JUST ARRIVED
https://www.autotrader.ca/a/volvo/xc90/thornhill/ontario/5_65769974_on20080123130441617/,2021 Volvo XC90 T6 AWD Momentum (6-Seat),40880,SUV,,4,2,AWD,4 Cylinder Engine,Onyx Black Metallic,Gas,,,59530,,Used,P4349,Automatic,T6 AWD Momentum (6-Seat)
https://www.autotrader.ca/a/hyundai/ioniq/toronto/ontario/5_65795470_20200930185246631/,2022 Hyundai Ioniq Electric IONIQ 5  All-wheel Drive Long Range,29995,,,,5,4x4,l,Gray,Electric,,Black,110100,5,Used,R50322,Automatic,IONIQ 5  All-wheel Drive Long Range
https://www.autotrader.ca/a/mercedes-benz/c-class/ajax/ontario/5_65769269_on20080514103912062/,2013 Mercedes-Benz C-Class 4MATIC&#174;,15599,Sedan,10.5L/100km,6,,AWD,V6 Cylinder Engine,Steel Gray Metallic,Gas,7.2L - 7.3L/100km,Black,55415,,Used,P5374,7 Speed Automatic,4MATIC&#174;
https://www.autotrader.ca/a/ford/mustang%20mach-e/georgetown/ontario/5_65776194_on20080211122257851/,2022 Ford Mustang Mach-E 1 OWNER | SELECT | AWD | ALLOYS | 360 CAMERA,27995,SUV,,,2,AWD,Electric,White,Electric,,Black,121960,,Used,E41362A,1 Speed Automatic,1 OWNER | SELECT | AWD | ALLOYS | 360 CAMERA
https://www.autotrader.ca/a/lexus/rx%20350h/brampton/ontario/5_65779004_20140729155225432/,"2025 Lexus RX 350H Premium AWD, Hybrid, Back Up Cam, Heated Seats!",66995,,,,,AWD,2.5L,Black,Gas,,Black,1500,5,Used,P06A8922,,"Premium AWD, Hybrid, Back Up Cam, Heated Seats!"
https://www.autotrader.ca/a/mazda/mazda3/pembroke/ontario/5_65480984_20181212162054700/,2021 Mazda Mazda3 GS AWD | CarPlay/Android | Heated Seats/Steering,19449,Sedan,9.3L/100km,4,4,AWD,2.5L SKYACTIV-G DOHC 16-Valve I4,Deep Crystal Blue Mica,Gas,7.0L/100km,,122055,5,Used,317PCUAAA,6 Speed Automatic,GS AWD | CarPlay/Android | Heated Seats/Steering
https://www.autotrader.ca/a/cadillac/lyriq/mississauga/ontario/5_65771865_20240221151138307/,2025 Cadillac LYRIQ Sport 1,72032,SUV,,,5,RWD,0L,Argent Silver Metallic,Electric,,Black,300,,New,KQ25077T,Automatic,Sport 1
https://www.autotrader.ca/a/nissan/murano/toronto/ontario/5_65789906_on20090209112810199/,2020 Nissan Murano SL Package | AWD | Safety Certified | Low Mileage,25999,SUV,11.7L/100km,6,4,AWD,V6 Cylinder Engine,Gun Metallic,Gas,8.5L/100km,Black,67234,5,Used,255285L,CVT,SL Package | AWD | Safety Certified | Low Mileage
https://www.autotrader.ca/a/ford/bronco%20sport/leamington/ontario/5_65059198_on20071126111604436/,2024 Ford Bronco Sport BIG BEND | HEATED SEATS | REMOTE START,34181,SUV,9.3L/100km,3,4,4x4,1.5L 3cyl,Grey,Gas,8.1L/100km,Dark Grey,481,5,Used,SP00128M,8 Speed Automatic,BIG BEND | HEATED SEATS | REMOTE START
https://www.autotrader.ca/a/mini/cooper%202%20door/oakville/ontario/5_61430602_20230321145012992/,"2015 MINI Cooper 2 Door 3dr HB S PANOROOF,CLEAN CARFAX,CERTIFIED",13990,Hatchback,10.0L/100km,4,2,FWD,4 Cylinder Engine,Red,Gas,7.0L/100km,Dark Grey,106394,4,Used,,Manual,"3dr HB S PANOROOF,CLEAN CARFAX,CERTIFIED"
https://www.autotrader.ca/a/volkswagen/tiguan/vaughan/ontario/5_65778268_20220509183514868/,2022 Volkswagen Tiguan Clean Carfax | AWD | Bluetooth | Heated Front Seat,29350,SUV,10.6L/100km,4,,AWD,4 Cylinder Engine,Pure White,Gas,8.0L/100km,,47174,,Used,L53540AA,Automatic,Clean Carfax | AWD | Bluetooth | Heated Front Seat
https://www.autotrader.ca/a/cadillac/ct5/waterloo/ontario/5_65251433_on20070820102835590/,2023 Cadillac CT5 AWD PREMIUM LUXURY-ONE OWNER-CLEAN CARFAX!!,42998,Sedan,10.3L - 10.9L/100km,4,4,AWD,2.0L 4cyl,Grey,Premium Unleaded,7.1L - 7.8L/100km,,25740,,Used,R8675A,10 Speed Automatic,AWD PREMIUM LUXURY-ONE OWNER-CLEAN CARFAX!!
https://www.autotrader.ca/a/ford/explorer/grimsby/ontario/5_65520579_20130830115012833/,2025 Ford Explorer ST | 3.0L ECOBOOST | 21 WHEELS | B&O SOUND,68472,SUV,13.4L/100km,6,4,4x4,V6 Cylinder Engine,Agate Black Metallic,Gas,9.8L/100km,Black,20,7,New,25W8G012,10 Speed Automatic,ST | 3.0L ECOBOOST | 21 WHEELS | B&O SOUND
https://www.autotrader.ca/a/hyundai/elantra%20gt/brantford/ontario/5_65709245_20100222130708102/,2018 Hyundai Elantra GT GL SE,14991,Hatchback,9.4L/100km,4,4,FWD,Regular Unleaded I-4 2.0 L/122,Platinum Silver Metallic,Gas,7.2L/100km,Black,108179,5,Used,E2563A,Automatic,GL SE
https://www.autotrader.ca/a/honda/odyssey/toronto/ontario/5_58891274_20130604113150356/,2017 Honda Odyssey Touring|8PASS|HONDAVAC|REARSCREEN|NAV|POWERDOORS|+,32987,Minivan,12.3L/100km,6,4,FWD,V6 Cylinder Engine,Crystal Black Pearl,Gas,8.6L/100km,Light Grey,74954,8,Used,M5363,6 Speed Automatic,Touring|8PASS|HONDAVAC|REARSCREEN|NAV|POWERDOORS|+
https://www.autotrader.ca/a/honda/odyssey/brampton/ontario/5_65776072_on20070924092442010/,2018 Honda Odyssey TOURING | NAVI | LEATHER | DVD | SUNROOF | ALLOYS,28999,Minivan,12.2L/100km,6,4,FWD,V6 Cylinder Engine,Forest Mist Metallic,Gas,8.5L/100km,Tan,137988,8,Used,P02JA002,10 Speed Automatic,TOURING | NAVI | LEATHER | DVD | SUNROOF | ALLOYS
https://www.autotrader.ca/a/audi/sq8%20e-tron/north%20york/ontario/5_63362081_on20071217113316750/,2024 Audi SQ8 e-tron BLACK OPTICS|B&O|HEADS-UP|ADAPT CRUISE|LOADED,89999,SUV,,,4,AWD,Electric Motor,Daytona Grey Pearl,Electric,,,12000,5,Used,032994,Automatic,BLACK OPTICS|B&O|HEADS-UP|ADAPT CRUISE|LOADED
https://www.autotrader.ca/a/ford/f-150/scarborough/ontario/5_65659562_on20070827092223801/,2023 Ford F-150 XLT,54995,Truck,12.8L - 13.5L/100km,6,2,4x4,2.7 V6 ECOBOOST L,Avalanche,Gas,10.0L - 10.2L/100km,,45266,,Used,P7552,,XLT
https://www.autotrader.ca/a/lexus/rx/milton/ontario/5_65794835_on20071203110232038/,2021 Lexus RX 350 F SPORT SERIES 3|AWD|MARK LEVINSON|PANORAMIC ROOF|,45999,SUV,12.2L/100km,6,4,AWD,3.5L 6cyl,Atomic Silver,Gas,9.0L/100km,Red,37813,,Used,286478,8 Speed Automatic,F SPORT SERIES 3|AWD|MARK LEVINSON|PANORAMIC ROOF|
https://www.autotrader.ca/a/toyota/gr86/toronto/ontario/5_65744301_on20080211122607726/,2022 Toyota GR86 GR86 PREMIUM! CLEAN CARFAX!FULL SERVICE HISTORY!,34990,Coupe,11.1L/100km,4,,RWD,ZNBF6T,Halo,Gas,7.7L/100km,,48547,,Used,P6770A,Automatic,GR86 PREMIUM! CLEAN CARFAX!FULL SERVICE HISTORY!
https://www.autotrader.ca/a/toyota/camry/hanover/ontario/5_65162390_20230208141205654/,2024 Toyota Camry XSE Heated Seats | CarPlay | Sunroof,41494,Sedan,5.3L/100km,4,2,FWD,2.5L I-4 DOHC 16-Valve -inc: Direct injection D4-,White,Gasoline Hybrid,5.0L/100km,Black,24499,,Used,HHQ4447,CVT,XSE Heated Seats | CarPlay | Sunroof
https://www.autotrader.ca/a/mazda/cx-5/gloucester/ontario/5_65657866_20201014180754758/,2019 Mazda CX-5 GT Auto AWD,28500,SUV,9.8L/100km,4,4,AWD,2.5L SKYACTIV-G DOHC 16-Valve 4-Cylinder,,Gas,7.9L/100km,,40896,,Used,237191,6 Speed Automatic,GT Auto AWD
https://www.autotrader.ca/a/hyundai/ioniq%206/guelph/ontario/5_65610455_20161213191406205/,2023 Hyundai IONIQ 6 | FINANCE AS LOW AS 0%! | One Owner! |,43999,Sedan,,,,AWD,Electric Motor,Serenity White,Electric,,Black,34547,5,Used,18422A,Automatic,| FINANCE AS LOW AS 0%! | One Owner! |
https://www.autotrader.ca/a/mercedes-benz/eqs/kitchener/ontario/5_65590101_20240626145202385/,2022 Mercedes-Benz EQS 4MATIC - ELIGIBLE FOR LEASE!,85000,Sedan,,,2,,Electric Motor,White,Electric,,,40983,,Used,MP4311972,Automatic,4MATIC - ELIGIBLE FOR LEASE!
https://www.autotrader.ca/a/volvo/xc60/thornhill/ontario/5_65795498_on20080123130441617/,2021 Volvo XC60 T6 AWD Momentum,38880,SUV,,4,2,AWD,4 Cylinder Engine,Onyx Black Metallic,Gas,,,45750,,Used,P4341,Automatic,T6 AWD Momentum
https://www.autotrader.ca/a/chevrolet/corvette/brantford/ontario/5_65725117_20161011161035221/,2019 Chevrolet Corvette 1LT Coupe Auto Transparent Roof Black Rims,65988,Coupe,14.6L - 15.6L/100km,8,2,RWD,8 Cylinder Engine,Red,Gas,9.2L - 9.3L/100km,Black,29640,2,Used,119991,8 Speed Automatic,1LT Coupe Auto Transparent Roof Black Rims
https://www.autotrader.ca/a/bmw/5%20series/oakville/ontario/5_65794156_on20081119101006124/,2021 BMW 5 Series ACTIVE CRUISE / ENHANCED / HARMAN KARDON,63964,Sedan,13.5L/100km,8,4,AWD,8 Cylinder Engine,Carbon Black Metallic,Gas,9.5L/100km,,45505,5,Used,B931037A,8 Speed Automatic,ACTIVE CRUISE / ENHANCED / HARMAN KARDON
https://www.autotrader.ca/a/ford/f-150/toronto/ontario/5_65784841_on20080128114009625/,"2020 Ford F-150 XLT - Extra set of tires, Soft Bed Cover",35995,Truck,13.1L/100km,6,,4x4,2.7L V6 ECOBOOST,Rapid Red Metallic Tinted Clearcoat,Gas,10.2L/100km,,74695,6,Used,25SU401216A,,"XLT - Extra set of tires, Soft Bed Cover"
https://www.autotrader.ca/a/ram/1500%20classic/barrie/ontario/5_65635843_20240624135503092/,2022 Ram 1500 Classic SLT,31400,Crew Cab,14.5L/100km,6,4,4x4,Regular Unleaded V-6 3.6 L/220,Diamond Black Crystal Pearlcoat,Gas,10.2L/100km,,65801,5,Used,25H432A,Automatic,SLT
https://www.autotrader.ca/a/kia/sportage%20hybrid/georgetown/ontario/5_65618945_on20080211122257851/,2023 Kia Sportage Hybrid 1 OWNER | LOW MILEAGE | EX HYBRID | WARRANTY,35590,SUV,6.1L/100km,4,2,AWD,1.6L 4cyl,Snow White Pearl,Gasoline Hybrid,6.3L/100km,Black,15187,,Used,K51567A,6 Speed Automatic,1 OWNER | LOW MILEAGE | EX HYBRID | WARRANTY
https://www.autotrader.ca/a/toyota/crown/toronto/ontario/5_65748808_on20071128115044631/,2023 Toyota Crown Platinum Auto | Leather | Sunroof | Alloys,49995,Sedan,,4,4,AWD,4 Cylinder Engine,White,Gasoline Hybrid,,Black,42326,5,Used,23CR4881D,CVT,Platinum Auto | Leather | Sunroof | Alloys
https://www.autotrader.ca/a/lexus/rx/mississauga/ontario/5_65771370_on20070704174647447/,2022 Lexus RX 350,42995,SUV,12.2L/100km,6,,AWD,V-6 cyl,Atomic Silver,Regular Unleaded,9.0L/100km,,41704,,Used,M0803,8 Speed Automatic,
https://www.autotrader.ca/a/ram/1500/milton/ontario/5_65719497_20130708154802598/,2022 Ram 1500 Sport Gt | 4x4 | Lvl,57934,,,8,4,4x4,5.7 L,GRAY,Gas,,Black,9374,5,Used,P6629,Automatic,Sport Gt | 4x4 | Lvl
https://www.autotrader.ca/a/nissan/murano/whitby/ontario/5_65722987_on20080428110649906/,2021 Nissan Murano Midnight Edition AWD | Leather | Navigation | Pano,28950,Wagon,12.0L/100km,6,2,AWD,V6 Cylinder Engine,Magnetic Black Pearl,Gas,8.5L/100km,Grey,70338,,Used,SC112466B,CVT,Midnight Edition AWD | Leather | Navigation | Pano
https://www.autotrader.ca/a/ram/2500/arthur/ontario/5_61270743_on20071121102417842/,2019 Ram 2500 RAM 2500 TRADESMAN CREW CAB 4X4,53995,Truck,,6,4,4x4,6.7L Cummins I6 Turbodiesel,Billet Metallic,Diesel,,Black,152048,,Used,220156AA,Automatic,RAM 2500 TRADESMAN CREW CAB 4X4
https://www.autotrader.ca/a/bmw/4%20series/st.%20catharines/ontario/5_65724168_20230131154659516/,2019 BMW 4 Series 440i xDrive Coupe SOLD PENDING DELIVERY,36990,Coupe,11.4L/100km,6,2,AWD,Straight 6 Cylinder Engine,Mineral Grey Metallic,Gas,7.6L/100km,Red,76078,4,Used,P41KA004,8 Speed Automatic,440i xDrive Coupe SOLD PENDING DELIVERY
https://www.autotrader.ca/a/bmw/x5%20m/oakville/ontario/5_65767399_on20081119101006124/,2017 BMW X5 M ONE OWNER / NO ACCIDENTS / PREM PKGE,39964,SUV,16.6L/100km,8,4,AWD,8 Cylinder Engine,Black,Gas,12.1L/100km,,109621,5,Used,T943216A,8 Speed Automatic,ONE OWNER / NO ACCIDENTS / PREM PKGE
https://www.autotrader.ca/a/genesis/g90/toronto/ontario/5_65784725_on20071012141532742/,2020 Genesis G90 ULTIMATE AWD | CLEAN CARFAX|LUXURY PKG | HUD | 360,39998,Sedan,15.4L/100km,8,4,AWD,8 Cylinder,Himalayan Grey,Gas,10.2L/100km,Brown,114234,5,Used,072096,Automatic,ULTIMATE AWD | CLEAN CARFAX|LUXURY PKG | HUD | 360
https://www.autotrader.ca/a/kia/forte/bomanville/ontario/5_65299404_20210323201945249/,2022 Kia Forte FORTE,18299,Sedan,7.9L/100km,4,,,4 Cylinder Engine,Radiant Red,Gas,5.9L/100km,,96185,,Used,4-P260,CVT,FORTE
https://www.autotrader.ca/a/honda/pilot/barrie/ontario/5_65761166_20240115223701424/,2021 Honda Pilot EX-L Navi AWD,33490,SUV,12.4L/100km,6,4,AWD,Regular Unleaded V-6 3.5 L/212,Modern Steel Metallic,Gas,9.3L/100km,Grey,87246,8,Used,11-25564A,Automatic,EX-L Navi AWD
https://www.autotrader.ca/a/jeep/grand%20cherokee/scarborough/ontario/5_64082001_on20080130104719054/,2023 Jeep Grand Cherokee Overland 4xe Low kilometers/Brand new condition!,57890,SUV,10.3L/100km,4,4,4x4,2.0L I4 DOHC,Bright White,Gasoline Hybrid,9.7L/100km,,2486,,Used,11451P,8 Speed Automatic,Overland 4xe Low kilometers/Brand new condition!
https://www.autotrader.ca/a/toyota/avalon/cayuga/ontario/5_64424246_20211217192838090/,2019 Toyota Avalon XSE,35995,Sedan,10.9L/100km,6,4,FWD,Gas 6cyl 3.5 L,Ruby Flare Pearl,Gas,7.6L/100km,Black,19251,5,Used,442021,Automatic,XSE
https://www.autotrader.ca/a/audi/q8/toronto/ontario/5_65770083_on20071012141532742/,2021 Audi Q8 TECHNIK S-LINE | QUATTRO | HUD | CLEAN CARFAX | WO,47988,SUV,,6,4,AWD,6,Daytona Gray Pearl Effect,Gas,,Black,115713,5,Used,013995,Automatic,TECHNIK S-LINE | QUATTRO | HUD | CLEAN CARFAX | WO
https://www.autotrader.ca/a/bmw/x3%20m/toronto/ontario/5_65791372_on20080813102254017/,"2022 BMW X3 M AWD CPO COMPETITION 21"" NAV CARPLAY DRIVR.ASST",84992,SUV,15.7L/100km,6,4,AWD,3.0L 6cyl,Grey,Premium Unleaded,11.7L/100km,Red,39950,,Used,T57144A,8 Speed Automatic,"AWD CPO COMPETITION 21"" NAV CARPLAY DRIVR.ASST"
https://www.autotrader.ca/a/audi/s7/vaughan/ontario/5_65432885_20151120114639071/,2020 Audi S7 Sportback 2.9 TFSI/HUD/360 CAM/B&O/NAV/CLEAN CARFAX,62898,Hatchback,,6,4,AWD,V6 Cylinder Engine,Grey,Gasoline Hybrid,,Black,53454,5,Used,NM0101618,8 Speed Automatic,2.9 TFSI/HUD/360 CAM/B&O/NAV/CLEAN CARFAX
https://www.autotrader.ca/a/toyota/camry/oakville/ontario/5_65778198_on20071210105142452/,2023 Toyota Camry SE NIGHTSHADE | CLEAN CARFAX | LOW KMS |,34995,Sedan,8.5L/100km,4,4,FWD,2.5L 4-Cylinder DOHC 16V,Celestial Silver Metallic,Gas,6.1L/100km,Black,9806,,Used,TT61A,8 Speed Automatic,SE NIGHTSHADE | CLEAN CARFAX | LOW KMS |
https://www.autotrader.ca/a/acura/ilx/ajax/ontario/5_65778177_20151211101842274/,2016 Acura ILX 4dr Sdn Tech Pkg,12888,Sedan,9.3L/100km,4,4,FWD,4 Cylinder Engine,,Gas,6.6L/100km,,179705,5,Used,P6518A,8 Speed Automatic,4dr Sdn Tech Pkg
https://www.autotrader.ca/a/ram/1500/waterloo/ontario/5_65729270_on20070910111932023/,2019 Ram 1500 Sport,44960,Truck,16.1L/100km,8,4,4x4,5.7L HEMI VVT V8 w/FuelSaver MDS,Grey,Gas,11.0L/100km,,62944,,Used,NW4273A,Automatic,Sport
https://www.autotrader.ca/a/audi/sq8/toronto/ontario/5_65770045_on20071012141532742/,2020 Audi SQ8 QUATTRO |ONE OWNER|MASSAGE SEATS|360 CAM|CARBON FI,71998,SUV,15.8L/100km,8,4,AWD,8 Cylinder,Glacier White Metallic,Gas,11.4L/100km,Black,65537,5,Used,022656,Automatic,QUATTRO |ONE OWNER|MASSAGE SEATS|360 CAM|CARBON FI
https://www.autotrader.ca/a/dodge/hornet/aurora/ontario/5_65430291_on20080505104026031/,2023 Dodge Hornet GT AWD**NAV**LTHR**H/SEAT & WHL**TRACK PK+++,41888,SUV,,4,4,4x4,4 Cylinder Engine,Dark Grey,Gas,,Black,950,5,Used,WX8047,9 Speed Automatic,GT AWD**NAV**LTHR**H/SEAT & WHL**TRACK PK+++
https://www.autotrader.ca/a/cadillac/escalade%20iq/mississauga/ontario/5_65771869_20240221151138307/,2025 Cadillac Escalade IQ Sport 1 Pano Sunroof | Navi | 360 Backup Cam | AKG,164752,SUV,,,5,AWD,0L,Summit White,Electric,,Black,150,,New,KKE25031T,Automatic,Sport 1 Pano Sunroof | Navi | 360 Backup Cam | AKG
